 	restType,restCode,restName,menuName,menuPrice,restLoca,restDis
we,WE_R004,롤링파스타 안양1번가점,매운 크림 파스타,8500,경기 안양시 만안구 안양로304번길 25 2층,1.3
we,WE_R004,롤링파스타 안양1번가점,베이컨 크림리조또,8500,경기 안양시 만안구 안양로304번길 25 2층,1.3
we,WE_R004,롤링파스타 안양1번가점,게살 로제 크림 리조또,8500,경기 안양시 만안구 안양로304번길 25 2층,1.3
we,WE_R004,롤링파스타 안양1번가점,포크스테이크,15900,경기 안양시 만안구 안양로304번길 25 2층,1.3
we,WE_R004,롤링파스타 안양1번가점,봉골레 파스타,7900,경기 안양시 만안구 안양로304번길 25 2층,1.3
we,WE_R004,롤링파스타 안양1번가점,매운 우삼겹 오일파스타,7900,경기 안양시 만안구 안양로304번길 25 2층,1.3
we,WE_R004,롤링파스타 안양1번가점,마르게리따 피자,6800,경기 안양시 만안구 안양로304번길 25 2층,1.3
we,WE_R004,롤링파스타 안양1번가점,고르곤졸라 피자,7300,경기 안양시 만안구 안양로304번길 25 2층,1.3
we,WE_R005,스테이크의정석 안양일번가점,등심스테이크,9500,경기 안양시 만안구 장내로149번길 50 보림빌딩 2층,1.3
we,WE_R005,스테이크의정석 안양일번가점,부채살스테이크,11500,경기 안양시 만안구 장내로149번길 50 보림빌딩 2층,1.3
we,WE_R005,스테이크의정석 안양일번가점,토시살스테이크,14000,경기 안양시 만안구 장내로149번길 50 보림빌딩 2층,1.3
we,WE_R005,스테이크의정석 안양일번가점,살치살스테이크,15000,경기 안양시 만안구 장내로149번길 50 보림빌딩 2층,1.3
we,WE_R005,스테이크의정석 안양일번가점,찹스테이크,12000,경기 안양시 만안구 장내로149번길 50 보림빌딩 2층,1.3
we,WE_R005,스테이크의정석 안양일번가점,수제함박스테이크,9500,경기 안양시 만안구 장내로149번길 50 보림빌딩 2층,1.3
we,WE_R005,스테이크의정석 안양일번가점,토마호크,91000,경기 안양시 만안구 장내로149번길 50 보림빌딩 2층,1.3
we,WE_R005,스테이크의정석 안양일번가점,버팔로윙,9500,경기 안양시 만안구 장내로149번길 50 보림빌딩 2층,1.3
we,WE_R006,델리커리 안양엔터식스점,3색 카레,35000,경기 안양시 만안구 만안로 244 엔터식스 안양점 7층,1.1
we,WE_R006,델리커리 안양엔터식스점,커리 크림 리조또,15900,경기 안양시 만안구 만안로 244 엔터식스 안양점 7층,1.1
we,WE_R006,델리커리 안양엔터식스점,1984 돈까스카레,7900,경기 안양시 만안구 만안로 244 엔터식스 안양점 7층,1.1
we,WE_R006,델리커리 안양엔터식스점,루꼴라 코르마카레,11900,경기 안양시 만안구 만안로 244 엔터식스 안양점 7층,1.1
we,WE_R006,델리커리 안양엔터식스점,치킨스테이크 마크니카레,14900,경기 안양시 만안구 만안로 244 엔터식스 안양점 7층,1.1
we,WE_R006,델리커리 안양엔터식스점,스크램블 오믈렛,10900,경기 안양시 만안구 만안로 244 엔터식스 안양점 7층,1.1
we,WE_R006,델리커리 안양엔터식스점,크림소스 오믈렛,10900,경기 안양시 만안구 만안로 244 엔터식스 안양점 7층,1.1
we,WE_R006,델리커리 안양엔터식스점,보코치니 뽀모도로 파스타,11900,경기 안양시 만안구 만안로 244 엔터식스 안양점 7층,1.1
we,WE_R006,델리커리 안양엔터식스점,카레빠네,14900,경기 안양시 만안구 만안로 244 엔터식스 안양점 7층,1.1
we,WE_R006,델리커리 안양엔터식스점,리코타 치즈 난 샐러드,11900,경기 안양시 만안구 만안로 244 엔터식스 안양점 7층,1.1
we,WE_R007,에그홀릭 안양점,에그샌드,3900,경기 안양시 만안구 병목안로 20 스페이스타워 1층 106호,1.7
we,WE_R007,에그홀릭 안양점,햄치즈 그릴 샌드,4900,경기 안양시 만안구 병목안로 20 스페이스타워 1층 106호,1.7
we,WE_R007,에그홀릭 안양점,베이컨치즈 그릴 샌드,4900,경기 안양시 만안구 병목안로 20 스페이스타워 1층 106호,1.7
we,WE_R007,에그홀릭 안양점,함박치즈 그릴 샌드,5600,경기 안양시 만안구 병목안로 20 스페이스타워 1층 106호,1.7
we,WE_R007,에그홀릭 안양점,홀릭 핫도그,5200,경기 안양시 만안구 병목안로 20 스페이스타워 1층 106호,1.7
we,WE_R007,에그홀릭 안양점,토마토 미트볼 샌드,5700,경기 안양시 만안구 병목안로 20 스페이스타워 1층 106호,1.7
we,WE_R008,샐러디 안양역점,시저치킨 샐러드,7400,"경기 안양시 만안구 만안로 254 헤븐리치더퍼스트 294, 105호",1.3
we,WE_R008,샐러디 안양역점,탄단지 샐러드,9100,"경기 안양시 만안구 만안로 254 헤븐리치더퍼스트 294, 105호",1.3
we,WE_R008,샐러디 안양역점,콥 샐러드,8100,"경기 안양시 만안구 만안로 254 헤븐리치더퍼스트 294, 105호",1.3
we,WE_R008,샐러디 안양역점,연어 샐러드,10900,"경기 안양시 만안구 만안로 254 헤븐리치더퍼스트 294, 105호",1.3
we,WE_R008,샐러디 안양역점,우삼겹 웜볼(포케),9400,"경기 안양시 만안구 만안로 254 헤븐리치더퍼스트 294, 105호",1.3
we,WE_R008,샐러디 안양역점,바베큐치킨 웜볼(포케),9800,"경기 안양시 만안구 만안로 254 헤븐리치더퍼스트 294, 105호",1.3
we,WE_R008,샐러디 안양역점,할라피뇨치킨 웜볼(포케),9400,"경기 안양시 만안구 만안로 254 헤븐리치더퍼스트 294, 105호",1.3
we,WE_R008,샐러디 안양역점,칠리베이컨 웜랩 샌드위치,7600,"경기 안양시 만안구 만안로 254 헤븐리치더퍼스트 294, 105호",1.3
we,WE_R008,샐러디 안양역점,우삼겹 웜랩 샌드위치,8000,"경기 안양시 만안구 만안로 254 헤븐리치더퍼스트 294, 105호",1.3
we,WE_R008,샐러디 안양역점,할라피뇨 치킨 웜랩 샌드위치,7900,"경기 안양시 만안구 만안로 254 헤븐리치더퍼스트 294, 105호",1.3
